cell_id,center_lat,center_lon
924,12.8215,77.7815
925,12.8215,77.7905
926,12.8215,77.7995
927,12.8215,77.8085
928,12.8215,77.8175
929,12.8215,77.8265
930,12.8215,77.8355
931,12.8215,77.8445
932,12.8215,77.8535
933,12.8215,77.8625
934,12.8215,77.8715
935,12.8215,77.8805
936,12.8215,77.8895
937,12.8215,77.8985
938,12.8305,77.3045
939,12.8305,77.3135
940,12.8305,77.3225
941,12.8305,77.3315
942,12.8305,77.3405
943,12.8305,77.3495
944,12.8305,77.3585
945,12.8305,77.3675
946,12.8305,77.3765
947,12.8305,77.3855
948,12.8305,77.3945
949,12.8305,77.4035
950,12.8305,77.4125
951,12.8305,77.4215
952,12.8305,77.4305
953,12.8305,77.4395
954,12.8305,77.4485
955,12.8305,77.4575
956,12.8305,77.4665
957,12.8305,77.4755
958,12.8305,77.4845
959,12.8305,77.4935
960,12.8305,77.5025
961,12.8305,77.5115
962,12.8305,77.5205
963,12.8305,77.5295
964,12.8305,77.5385
965,12.8305,77.5475
966,12.8305,77.5565
967,12.8305,77.5655
968,12.8305,77.5745
969,12.8305,77.5835
970,12.8305,77.5925
971,12.8305,77.6015
972,12.8305,77.6105
973,12.8305,77.6195
974,12.8305,77.6285
975,12.8305,77.6375
976,12.8305,77.6465
977,12.8305,77.6555
978,12.8305,77.6645
979,12.8305,77.6735
980,12.8305,77.6825
981,12.8305,77.6915
982,12.8305,77.7005
983,12.8305,77.7095
984,12.8305,77.7185
985,12.8305,77.7275
986,12.8305,77.7365
987,12.8305,77.7455
988,12.8305,77.7545
989,12.8305,77.7635
990,12.8305,77.7725
991,12.8305,77.7815
992,12.8305,77.7905
993,12.8305,77.7995
994,12.8305,77.8085
995,12.8305,77.8175
996,12.8305,77.8265
997,12.8305,77.8355
998,12.8305,77.8445
999,12.8305,77.8535
1000,12.8305,77.8625
1001,12.8305,77.8715
1002,12.8305,77.8805
1003,12.8305,77.8895
1004,12.8305,77.8985
1005,12.8395,77.3045
1006,12.8395,77.3135
1007,12.8395,77.3225
1008,12.8395,77.3315
1009,12.8395,77.3405
1010,12.8395,77.3495
1011,12.8395,77.3585
1012,12.8395,77.3675
1013,12.8395,77.3765
1014,12.8395,77.3855
1015,12.8395,77.3945
1016,12.8395,77.4035
1017,12.8395,77.4125
1018,12.8395,77.4215
1019,12.8395,77.4305
1020,12.8395,77.4395
1021,12.8395,77.4485
1022,12.8395,77.4575
1023,12.8395,77.4665
1024,12.8395,77.4755
1025,12.8395,77.4845
1026,12.8395,77.4935
1027,12.8395,77.5025
1028,12.8395,77.5115
1029,12.8395,77.5205
1030,12.8395,77.5295
1031,12.8395,77.5385
1032,12.8395,77.5475
1033,12.8395,77.5565
1034,12.8395,77.5655
1035,12.8395,77.5745
1036,12.8395,77.5835
1037,12.8395,77.5925
1038,12.8395,77.6015
1039,12.8395,77.6105
1040,12.8395,77.6195
1041,12.8395,77.6285
1042,12.8395,77.6375
1043,12.8395,77.6465
1044,12.8395,77.6555
1045,12.8395,77.6645
1046,12.8395,77.6735
1047,12.8395,77.6825
1048,12.8395,77.6915
1049,12.8395,77.7005
1050,12.8395,77.7095
1051,12.8395,77.7185
1052,12.8395,77.7275
1053,12.8395,77.7365
1054,12.8395,77.7455
1055,12.8395,77.7545
1056,12.8395,77.7635
1057,12.8395,77.7725
1058,12.8395,77.7815
1059,12.8395,77.7905
1060,12.8395,77.7995
1061,12.8395,77.8085
1062,12.8395,77.8175
1063,12.8395,77.8265
1064,12.8395,77.8355
1065,12.8395,77.8445
1066,12.8395,77.8535
1067,12.8395,77.8625
1068,12.8395,77.8715
1069,12.8395,77.8805
1070,12.8395,77.8895
1071,12.8395,77.8985
1072,12.8485,77.3045
1073,12.8485,77.3135
1074,12.8485,77.3225
1075,12.8485,77.3315
1076,12.8485,77.3405
1077,12.8485,77.3495
1078,12.8485,77.3585
1079,12.8485,77.3675
1080,12.8485,77.3765
1081,12.8485,77.3855
1082,12.8485,77.3945
1083,12.8485,77.4035
1084,12.8485,77.4125
1085,12.8485,77.4215
1086,12.8485,77.4305
1087,12.8485,77.4395
1088,12.8485,77.4485
1089,12.8485,77.4575
1090,12.8485,77.4665
1091,12.8485,77.4755
1092,12.8485,77.4845
1093,12.8485,77.4935
1094,12.8485,77.5025
1095,12.8485,77.5115
1096,12.8485,77.5205
1097,12.8485,77.5295
1098,12.8485,77.5385
1099,12.8485,77.5475
1100,12.8485,77.5565
1101,12.8485,77.5655
1102,12.8485,77.5745
1103,12.8485,77.5835
1104,12.8485,77.5925
1105,12.8485,77.6015
1106,12.8485,77.6105
1107,12.8485,77.6195
1108,12.8485,77.6285
1109,12.8485,77.6375
1110,12.8485,77.6465
1111,12.8485,77.6555
1112,12.8485,77.6645
1113,12.8485,77.6735
